,ensembl_gene_id,id,DL_OR
444,ENSMUSG00000094200,Olfr237,OR2A14
445,ENSMUSG00000075093,Olfr1231,OR4C1
446,ENSMUSG00000101918,Olfr1225,OR4C120
447,ENSMUSG00000040328,Olfr56,OR2V1
448,ENSMUSG00000110970,Olfr156,OR13C7B
449,ENSMUSG00000045581,Olfr710,OR2D4
450,ENSMUSG00000094891,Olfr55,OR10H1B
451,ENSMUSG00000074965,Olfr1277,OR4K35
452,ENSMUSG00000075092,Olfr1232,OR4C124
453,ENSMUSG00000056863,Olfr702,OR13N4
454,ENSMUSG00000051118,Olfr77,OR7D10
455,ENSMUSG00000075186,Olfr1058,OR8K24
456,ENSMUSG00000051182,Olfr655,OR52AC1
457,ENSMUSG00000056921,Olfr394,OR1E34
458,ENSMUSG00000095322,Olfr957,OR8G36
459,ENSMUSG00000045126,Olfr1445,OR5B12B
460,ENSMUSG00000049737,Olfr1361,OR2W6
461,ENSMUSG00000061000,Olfr507,OR5P79
462,ENSMUSG00000043087,Olfr855,OR7G35
463,ENSMUSG00000052818,Olfr813,OR6C76B
464,ENSMUSG00000094295,Olfr819,OR10U4
465,ENSMUSG00000044824,Olfr545,OR55B10
466,ENSMUSG00000110253,Olfr495,OR5P70
467,ENSMUSG00000059397,Olfr54,OR1X2
468,ENSMUSG00000056600,Olfr90,OR2H2
469,ENSMUSG00000060974,Olfr530,OR12J3
470,ENSMUSG00000046790,Olfr1341,OR13P3
471,ENSMUSG00000049011,Olfr729,OR4K5
472,ENSMUSG00000073997,Olfr521,OR2AT1
473,ENSMUSG00000067529,Olfr1423,OR4D11
474,ENSMUSG00000073998,Olfr520,OR2AT4
475,ENSMUSG00000054498,Olfr308,OR6F1
476,ENSMUSG00000061626,Olfr68,OR52A5
477,ENSMUSG00000090894,Olfr110,OR5V1
478,ENSMUSG00000050085,Olfr622,OR52A33
479,ENSMUSG00000050343,Olfr1378,OR1AD6
480,ENSMUSG00000071522,Olfr263,OR2W1
481,ENSMUSG00000045150,Olfr1161,OR5D35
482,ENSMUSG00000096228,Olfr5,OR6Z7
483,ENSMUSG00000075150,Olfr1137,OR5W14
484,ENSMUSG00000111179,Olfr996,OR5G27
485,ENSMUSG00000048919,Olfr223,OR2AA1
486,ENSMUSG00000075069,Olfr1264,OR4C3
487,ENSMUSG00000075199,Olfr52,OR8U8
488,ENSMUSG00000094531,Olfr671,OR52E8
489,ENSMUSG00000073937,Olfr633,OR51K2
490,ENSMUSG00000095401,Olfr804,OR6C6C
491,ENSMUSG00000066240,Olfr517,OR10A49
492,ENSMUSG00000075211,Olfr1006,OR9G4
493,ENSMUSG00000047444,Olfr139,OR3A10
494,ENSMUSG00000095286,Olfr117,OR2G25
495,ENSMUSG00000073931,Olfr646,OR52D1
496,ENSMUSG00000049806,Olfr466,OR9S18
497,ENSMUSG00000064044,Olfr319,OR2AK6
498,ENSMUSG00000110171,Olfr484,OR5P60
499,ENSMUSG00000094747,Olfr1307,OR4F14B
500,ENSMUSG00000111747,Olfr1134,OR5W1
501,ENSMUSG00000068817,Olfr1140,OR5W16
502,ENSMUSG00000096747,Olfr823,OR9R3
503,ENSMUSG00000094612,Olfr491,OR5P1
504,ENSMUSG00000111611,Olfr157,OR13C7C
505,ENSMUSG00000094810,Olfr907,OR8B44
506,ENSMUSG00000075085,Olfr1242,OR4A70
507,ENSMUSG00000045395,Olfr1499,OR9I14
508,ENSMUSG00000049843,Olfr1102,OR5T17
509,ENSMUSG00000073954,Olfr594,OR52E3
510,ENSMUSG00000066122,Olfr45,OR13A17
511,ENSMUSG00000075380,Olfr355,OR1L8
512,ENSMUSG00000044454,Olfr867,OR7D11
513,ENSMUSG00000044487,Olfr1112,OR12E1
514,ENSMUSG00000049217,Olfr788,OR6C3
515,ENSMUSG00000062892,Olfr1450,OR5B98
516,ENSMUSG00000062105,Olfr183,OR5H17
517,ENSMUSG00000045708,Olfr447,OR2A25
518,ENSMUSG00000048101,Olfr19,OR7A40
519,ENSMUSG00000075155,Olfr1133,OR5W1B
520,ENSMUSG00000050788,Olfr419,OR10Z1
