sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
Olfr1377_RGC_Syt1,02062023,10000,1872.0,91.7,2185.0,1000,100,150.0,150.0,600.0,0.0,0.0,2000,,,,
Olfr1377_RGC_Syt1_300,02062023,10000,1613.0,97.1,1849.0,1000,100,150.0,150.0,300.0,0.0,300.0,2000,,,,
Olfr1377_RGC_Syt5_300,02062023,10000,1610.0,98.0,1825.0,1000,100,150.0,150.0,0.0,300.0,300.0,2000,,,,
Olfr1377_RGC_Syt1_Syt5,02062023,10000,1959.0,95.7,2319.0,1000,100,150.0,150.0,300.0,300.0,0.0,2000,,,,
ORS6,02062023,10000,158.0,90.2,125.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
ORS6_RGC,02062023,10000,843.0,295.0,499.0,1000,100,150.0,150.0,0.0,0.0,600.0,2000,,,,
ORS6_RGC_Syt1,02062023,10000,935.0,260.0,633.0,1000,100,150.0,150.0,600.0,0.0,0.0,2000,,,,
ORS6_RGC_Syt1_Syt5,02062023,10000,809.0,368.0,423.0,1000,100,150.0,150.0,300.0,300.0,0.0,2000,,,,
Olfr743,02062023,10000,197.0,67.1,173.0,1000,0,0.0,0.0,0.0,0.0,1000.0,2000,,,,
Olfr743_RGC,02062023,10000,7929.0,86.4,10554.0,1000,100,150.0,150.0,0.0,0.0,600.0,2000,,,,
Olfr743_RGC_Syt1,02062023,10000,8190.0,94.9,10895.0,1000,100,150.0,150.0,600.0,0.0,0.0,2000,,,,
Olfr743_RGC_Syt1_Syt5,02062023,10000,7899.0,97.1,11377.0,1000,100,150.0,150.0,300.0,300.0,0.0,2000,,,,
RhopCI,06102022,10000,77.1,79.5,74.5,0,0,0.0,0.0,,,0.0,0,0.0,,,
ORS6,06102022,10000,99.1,80.8,88.7,1000,0,0.0,0.0,,,1000.0,1000,0.0,,,
ORS6_Hspa12a,06102022,10000,99.1,83.4,87.4,1000,0,0.0,0.0,,,700.0,1300,300.0,,,
ORS6_R,06102022,10017,545.0,502.0,194.0,1000,100,0.0,0.0,,,600.0,1400,300.0,,,
ORS6_RGC,06102022,10000,670.0,352.0,326.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
ORS6_RGC_Hspa12a,06102022,10000,711.0,404.0,325.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
ORS6_RGC_Acsl6,06102022,10000,915.0,238.0,641.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
ORS6_RGC_Cfap206,06102022,10000,726.0,266.0,427.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
ORS6_RGC_Efcab10,06102022,10000,744.0,343.0,383.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
ORS6_RGC_Slc24a2,06102022,10000,700.0,230.0,429.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
